Species	otu	baseMean	log2FoldChange	lfcSE	pvalue	padj	comparison	variable	significant
Propionibacterium_freudenreichii	Otu_64	26.056125059432823	-25.23773461640877	4.2288979050846915	1.1263534192699148e-9	6.1949438059845315e-9	female_vs_male	gender	yes
Cloacibacillus_evryensis	Otu_575	30.845930987307113	-25.225816294188164	4.228888919034921	1.1466709966070493e-9	6.20966447393356e-9	female_vs_male	gender	yes
Anaerotruncus_sp_CAG_528	Otu_408	24.404797781980843	-25.14959858717763	4.228908420608198	1.28615794043656e-9	6.859509015661653e-9	female_vs_male	gender	yes
Ruminococcus_obeum_CAG_39	Otu_427	22.798811360308243	-25.059466135802722	4.228920246984587	1.4723859960147508e-9	7.735520456674511e-9	female_vs_male	gender	yes
Parvimonas_sp_KA00067	Otu_497	20.87832475221937	-24.930482823179425	4.22893839124426	1.785306323292147e-9	9.241585673512292e-9	female_vs_male	gender	yes
Lactococcus_petauri	Otu_244	19.72402306767005	-24.856708221068125	4.228950385513371	1.9925048603902473e-9	1.0164662476193724e-8	female_vs_male	gender	yes
Coprobacter_secundus	Otu_116	15.771752982678285	-24.56383089495576	4.229007628432276	3.0717850157680976e-9	1.544669036500529e-8	female_vs_male	gender	yes
Tyzzerella_nexilis	Otu_391	13.141179226956911	-24.317720026668	4.229069879298669	4.402848172721931e-9	2.1828205025325628e-8	female_vs_male	gender	yes
Lactobacillus_curvatus	Otu_198	9.190063704499282	-23.834547339542144	4.229246503714099	8.837936832988362e-9	4.3136251691698117e-08	female_vs_male	gender	no
Leuconostoc_mesenteroides	Otu_236	9.124121199936564	-23.826049389906252	4.229250577787828	8.945870379244212e-9	4.3136251691698117e-08	female_vs_male	gender	no
Blautia_sp_N6H1_15	Otu_343	8.654954542786294	-23.75855191975012	4.229283484409025	9.849853045693608e-9	4.685335502816419e-8	female_vs_male	gender	no
Prevotella_sp_CAG_1092	Otu_137	34114.19078317408	-6.806958143689571	1.2777860964702528	1.8675103935049855e-8	8.764848780183398e-8	female_vs_male	gender	yes
Corynebacterium_durum	Otu_51	5.672644380049416	-23.185910293614143	4.229655944588237	2.205944996247803e-8	1.0217008403674035e-7	female_vs_male	gender	no
Butyricicoccus_pullicaecorum	Otu_278	3.434680556128447	-22.51191468589434	4.230455631410977	5.5647366898223753e-8	2.5438796296330856e-7	female_vs_male	gender	no
Roseburia_inulinivorans	Otu_383	142121.71120525332	-3.3511276840848034	0.86875730519679	3.5624010089419385e-7	1.607647634804567e-6	female_vs_male	gender	yes
Collinsella_intestinalis	Otu_75	4252.571502322078	6.173957113090582	1.472511954992973	8.95668818585981e-7	3.990828153699561e-6	female_vs_male	gender	yes
Prevotella_sp_885	Otu_135	106273.02423147591	-5.3401872846041485	1.5304232410394905	4.234538424803222e-6	1.8631969069134178e-5	female_vs_male	gender	yes
Dorea_formicigenerans	Otu_352	139746.05312797645	-2.0093621876002783	0.5476414835293072	3.047943252267417e-5	1.3245383022199146e-4	female_vs_male	gender	yes
Ruminococcus_torques	Otu_346	340430.28007749666	-2.1536028636892657	0.6781786818031441	1.1580121712120112e-4	4.970979076422292e-4	female_vs_male	gender	yes
Dorea_longicatena	Otu_353	373136.5004426365	-1.8087019751786426	0.5471109282721041	1.7811712296036394e-4	7.553882805066038e-4	female_vs_male	gender	yes
Eubacterium_sp_CAG_38	Otu_327	8678.1757685073	-3.424488973292901	1.5079162427335537	1.9117450482225638e-4	8.01112210683741e-4	female_vs_male	gender	yes
Holdemanella_biformis	Otu_443	80195.6750196654	-2.303888853705972	0.8445846175590711	2.927915076124454e-4	0.0012125013021127152	female_vs_male	gender	yes
Fusicatenibacter_saccharivorans	Otu_359	264453.47519379645	-1.565126984440715	0.4961278734325246	4.781159757746888e-4	0.001956939807821982	female_vs_male	gender	yes
Catenibacterium_mitsuokai	Otu_434	518261.47774440335	-2.5121200363836893	1.0636499653431095	4.848388851757196e-4	0.0019616469836994635	female_vs_male	gender	yes
Roseburia_intestinalis	Otu_382	72977.4633919321	-2.100378306262999	0.7904935498039698	6.128225924128019e-4	0.0024512903696512077	female_vs_male	gender	yes
Firmicutes_bacterium_CAG_110	Otu_448	9613.725994693774	-2.8442046177442344	1.5218149503952827	0.0011564697383590918	0.004573902785420228	female_vs_male	gender	yes
Eubacterium_hallii	Otu_320	166706.01234584488	-1.447900282499853	0.5152765587466053	0.0017251844129345811	0.006747387926144139	female_vs_male	gender	yes
Collinsella_aerofaciens	Otu_74	730359.6496082753	-1.5093172830814128	0.5608375685685288	0.002185708354792835	0.008454608141616242	female_vs_male	gender	yes
Eubacterium_sp_CAG_180	Otu_324	103818.62165275271	-2.1101418453259395	1.0802031178910732	0.0031184452539941565	0.011931442710934164	female_vs_male	gender	yes
Slackia_isoflavoniconvertens	Otu_85	41971.57526924641	-1.6763401894118874	0.6951753960321387	0.003244192129869828	0.012279092792625585	female_vs_male	gender	yes
Lachnospira_pectinoschiza	Otu_378	59660.821191163115	-2.140761231055884	1.130580623466975	0.0033119027261130363	0.012402018719061584	female_vs_male	gender	yes
Bacteroides_cellulosilyticus	Otu_87	3091.67688895281	-3.9706563368089336	2.8244257536247726	0.003442814913699655	0.01275653525918188	female_vs_male	gender	yes
Olsenella_scatoligenes	Otu_72	1232.9901523419474	-1.9067057359217479	0.9256183372283315	0.004025976235911957	0.01476191286501051	female_vs_male	gender	yes
Firmicutes_bacterium_CAG_791	Otu_456	27695.23633295844	-2.3784413422912536	1.613045559878676	0.005670174854996175	0.020576304628439727	female_vs_male	gender	yes
Actinomyces_sp_ICM47	Otu_15	527.5754160614044	-2.157213041231405	1.351857982200896	0.005940545024894909	0.02133746784452049	female_vs_male	gender	yes
Desulfovibrionaceae_bacterium	Otu_522	11105.143934260583	-2.067199084706089	1.2723711073551816	0.0065624260926581135	0.02333307055167329	female_vs_male	gender	yes
Faecalibacterium_prausnitzii	Otu_409	911843.420929642	-1.178080141864545	0.4838404808153966	0.007423078467625947	0.026129236206043335	female_vs_male	gender	yes
Collinsella_stercoris	Otu_76	5414.939017734685	-1.1593031216372252	0.5164678625553714	0.012369437476457417	0.04310932665062387	female_vs_male	gender	yes
Eubacterium_eligens	Otu_319	92791.4475259613	-1.4613096128467957	0.7373917242247077	0.013168480470812809	0.04544416789927558	female_vs_male	gender	yes
Actinomyces_turicensis	Otu_23	564.5372382167992	-2.756894343954368	2.624809638780581	0.013906141534504854	0.04752390116646319	female_vs_male	gender	yes
Alistipes_finegoldii	Otu_145	9731.486202865886	1.6921006992606071	1.0891636179289876	0.01571991628672394	0.05292382849447576	female_vs_male	gender	no
Streptococcus_thermophilus	Otu_274	20851.38015913644	-1.5473912705427775	0.8733622642295535	0.015786937477045324	0.05292382849447576	female_vs_male	gender	no
Prevotella_sp_CAG_279	Otu_139	56683.05332320872	-1.5019696672441392	0.894835243132123	0.020228515667662938	0.06717393882091843	female_vs_male	gender	no
Clostridioides_difficile	Otu_395	134.76615361331687	4.200249604515796	4.802641928258756	0.024302512329300877	0.07994845177489635	female_vs_male	gender	no
Butyricimonas_virosa	Otu_118	3554.8670418773645	-1.5733341539863532	1.1200701715558625	0.024803289815701648	0.08084035199191647	female_vs_male	gender	no
Coprococcus_catus	Otu_349	47717.86463924564	-1.2012903610472998	0.6399700824726865	0.026352622154756995	0.08510204585756388	female_vs_male	gender	no
Firmicutes_bacterium_CAG_83	Otu_457	29011.994149499416	-1.2320900871453313	0.6755901739826883	0.02773282641851482	0.08874504453924742	female_vs_male	gender	no
Sutterella_parvirubra	Otu_517	227.61505695386887	-1.709500524628004	1.647233937074239	0.03231868948176328	0.10248809637460067	female_vs_male	gender	no
Agathobaculum_butyriciproducens	Otu_403	53190.75663524404	-0.9430179727699355	0.4942467147762929	0.03529769747092712	0.1109356206229138	female_vs_male	gender	no
Eggerthella_lenta	Otu_81	13368.192166284314	1.3306829727617775	0.9248940444786697	0.040961736256360584	0.12759762090476925	female_vs_male	gender	no
Ruminococcus_callidus	Otu_424	1113.3189107602693	-1.5887632208889177	1.6827216643577114	0.04418490890273297	0.13643059591019302	female_vs_male	gender	no
Oscillibacter_sp_57_20	Otu_393	25618.386121633506	-1.1080721261631359	0.670965702542014	0.046792200692954894	0.14322482299060976	female_vs_male	gender	no
Eubacterium_siraeum	Otu_419	66260.14490357877	-1.2485768264563717	0.8532198808206697	0.047644481377501366	0.14457635728345242	female_vs_male	gender	no
Olsenella_uli	Otu_73	6.842866342248458	2.56627286588125	3.6207016716651035	0.04867727653590447	0.14644787470631088	female_vs_male	gender	no
Lactobacillus_rogosae	Otu_220	986.3039710772538	-1.3206508355178943	1.1531862915627638	0.05578429107786208	0.16640737677463943	female_vs_male	gender	no
Coprococcus_comes	Otu_350	181443.95513106717	-0.9359092244978486	0.5595926219048077	0.05757577596387294	0.17030817764103595	female_vs_male	gender	no
Roseburia_faecis	Otu_380	265936.8979449434	-1.0301077704808175	0.6469148355828558	0.05859822011828971	0.17188811234698315	female_vs_male	gender	no
Lachnoclostridium_sp_An138	Otu_373	180.88580001324044	1.5648584529824117	2.129038416116072	0.06695595430774581	0.19478095798616965	female_vs_male	gender	no
Streptococcus_vestibularis	Otu_275	270.02166144280716	-1.4170565658674024	1.8920603991346476	0.0752459357654136	0.21710302778217694	female_vs_male	gender	no
Streptococcus_sobrinus	Otu_267	11.560370507694783	-2.2576098240768707	3.745127803430704	0.07916294709839165	0.22654762096450295	female_vs_male	gender	no
Turicibacter_sanguinis	Otu_447	698.0221103679868	-1.249507019368744	1.4415146037604587	0.0812556701885669	0.23066125730948026	female_vs_male	gender	no
Clostridium_sp_CAG_253	Otu_291	10.480749167686739	-2.153941864567964	3.654409996633902	0.08490978817865699	0.23910596351109809	female_vs_male	gender	no
Gordonibacter_pamelaeae	Otu_83	5521.633685814499	1.0458947156687957	0.83684233022848	0.09300198995934195	0.25981508306101875	female_vs_male	gender	no
Actinobaculum_sp_oral_taxon_183	Otu_4	263.3379142210624	-1.1778510409821545	1.4521799400349746	0.09664569709379957	0.26786838879541297	female_vs_male	gender	no
Akkermansia_muciniphila	Otu_580	19388.546099564577	1.259230019942066	1.8224037344061021	0.09942858304070605	0.27342860336194164	female_vs_male	gender	no
Propionibacterium_acidifaciens	Otu_63	22.167344687374804	-1.453458549640814	2.4842736901751863	0.10643775674356086	0.2904348090987087	female_vs_male	gender	no
Lachnoclostridium_sp_An131	Otu_372	74.46439408289929	1.2580500277958657	2.0075388606786224	0.11165154847812271	0.30231803895614767	female_vs_male	gender	no
