taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6;mean_qval;median_qval;fisher_qval;clr_mean_diff;structural_zero;x_label;y_label;comparison;cat_var
Lactobacillus;6;FALSE;FALSE;FALSE;FALSE;0.1499134222587663;0.10768226083868401;1.1371420402068998e-7;-2.163727496997911;No;-2.163727496997911;21;high_mid;CD4after_48
Streptococcus;0;FALSE;FALSE;FALSE;FALSE;0.828558801838087;0.8952683730930209;0.9999999999615765;-0.2773996499701241;No;-2.163727496997911;21;high_mid;CD4after_48
Eubacterium;0;FALSE;FALSE;FALSE;FALSE;0.4366675756994561;0.3637136852624547;0.40741730843593416;0.7633061593557374;No;-2.163727496997911;21;high_mid;CD4after_48
Anaerostipes;0;FALSE;FALSE;FALSE;FALSE;0.8552808072708536;0.9676804364962737;0.9999999999896652;0.06139838223641031;No;-2.163727496997911;21;high_mid;CD4after_48
Blautia;0;FALSE;FALSE;FALSE;FALSE;0.8021145231039545;0.9864146450504161;0.9999999469524689;-0.08517586287101307;No;-2.163727496997911;21;high_mid;CD4after_48
Coprococcus;0;FALSE;FALSE;FALSE;FALSE;0.7774832993888712;0.8193637141884953;0.9999999979813528;0.42533224663313524;No;-2.163727496997911;21;high_mid;CD4after_48
Dorea;0;FALSE;FALSE;FALSE;FALSE;0.7927959730869123;0.9820124462216918;0.9999827420262163;-0.07869513541187705;No;-2.163727496997911;21;high_mid;CD4after_48
Fusicatenibacter;0;FALSE;FALSE;FALSE;FALSE;0.8167672670322754;0.9956760042410868;0.9999999932421596;-0.06544752304649772;No;-2.163727496997911;21;high_mid;CD4after_48
Lachnospiraceae_unclassified;0;FALSE;FALSE;FALSE;FALSE;0.8693324941855757;0.9444457518733941;0.9999999999993142;-0.08581078405960291;No;-2.163727496997911;21;high_mid;CD4after_48
Roseburia;4;FALSE;FALSE;FALSE;FALSE;0.7731229904414408;0.9290978395940906;0.9977642656085537;-0.1487931724877582;No;-2.163727496997911;21;high_mid;CD4after_48
Oscillibacter;0;FALSE;FALSE;FALSE;FALSE;0.2726880429048626;0.15738784145958706;4.6919874915930413e-4;0.7642591263520063;No;-2.163727496997911;21;high_mid;CD4after_48
Agathobaculum;0;FALSE;FALSE;FALSE;FALSE;0.50371157441481;0.5003414820089773;0.7199246352492736;0.6243844361533029;No;-2.163727496997911;21;high_mid;CD4after_48
Faecalibacterium;0;FALSE;FALSE;FALSE;FALSE;0.8406673348054848;0.9289984052089464;0.9999999999810505;0.15015635847575579;No;-2.163727496997911;21;high_mid;CD4after_48
Flavonifractor;1;FALSE;FALSE;FALSE;FALSE;0.8691377214387482;0.883627935474067;0.9999999999846675;-0.34909844743833596;No;-2.163727496997911;21;high_mid;CD4after_48
Gemmiger;0;FALSE;FALSE;FALSE;FALSE;0.9147374497069911;1;1;-0.20347966847702054;No;-2.163727496997911;21;high_mid;CD4after_48
Ruminococcaceae_unclassified;0;FALSE;FALSE;FALSE;FALSE;0.935919208741878;0.9615265234089978;1;-0.8757102097553897;No;-2.163727496997911;21;high_mid;CD4after_48
Ruminococcus;0;FALSE;FALSE;FALSE;FALSE;0.8940603603675258;0.8768130178225921;1;0.24595346622140213;No;-2.163727496997911;21;high_mid;CD4after_48
Ruthenibacterium;0;FALSE;FALSE;FALSE;FALSE;0.9776771742090774;1;1;-0.8057147661129374;No;-2.163727496997911;21;high_mid;CD4after_48
Holdemanella;0;FALSE;FALSE;FALSE;FALSE;0.46668843747401706;0.3825241084751483;0.7121635487355129;-0.09550371414530466;No;-2.163727496997911;21;high_mid;CD4after_48
Firmicutes_unclassified;0;FALSE;FALSE;FALSE;FALSE;0.8946665947372067;1;0.9999999999999843;0.7305643133771329;No;-2.163727496997911;21;high_mid;CD4after_48
Phascolarctobacterium;1;FALSE;FALSE;FALSE;FALSE;0.5666787378527266;0.5763191282037909;0.9315618160622755;0.49329804175662095;No;-2.163727496997911;21;high_mid;CD4after_48
Actinomyces;0;FALSE;FALSE;FALSE;FALSE;0.8267558587985749;0.9023069289522296;0.9999999990600378;0.16143183133302494;No;-0.5851195907949027;21;low_mid;CD4after_48
Bifidobacterium;0;FALSE;FALSE;FALSE;FALSE;0.9895793721917004;1;1;0.16793363780337614;No;-0.5851195907949027;21;low_mid;CD4after_48
Collinsella;0;FALSE;FALSE;FALSE;FALSE;0.8561667857626213;0.8322912129887874;0.9999999999999913;0.06669911047973945;No;-0.5851195907949027;21;low_mid;CD4after_48
